State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,22/03/2025,600,1000,800
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Bhushavali(Pacha),Large,22/03/2025,1700,2300,2100
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,22/03/2025,2200,2300,2250
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,22/03/2025,4500,4700,4600
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,22/03/2025,3800,4000,3900
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,22/03/2025,9900,12000,10500
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,22/03/2025,2500,3100,2850
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),"Jowar ( White)",FAQ,22/03/2025,3000,4750,3750
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,22/03/2025,2500,3250,3100
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bhindi(Ladies Finger)",Bhindi,FAQ,22/03/2025,3000,4000,3500
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,FAQ,22/03/2025,400,500,450
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Lemon,Lemon,FAQ,22/03/2025,7000,8000,7500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bhindi(Ladies Finger)",Other,FAQ,22/03/2025,3500,4500,4000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Carrot,Other,FAQ,22/03/2025,1000,1500,1300
Gujarat,Banaskanth,Vadgam,Mustard,Other,FAQ,22/03/2025,5325,5450,5400
Gujarat,"Chhota Udaipur","Modasar        ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,22/03/2025,6900,7300,7100
Gujarat,Dahod,Dahod,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,22/03/2025,6100,6200,6150
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,22/03/2025,2650,2700,2675
Gujarat,Gandhinagar,Dehgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,22/03/2025,2700,2850,2775
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,22/03/2025,3500,4000,3500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bitter gourd",Other,FAQ,22/03/2025,4000,4000,4000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bottle gourd",Other,FAQ,22/03/2025,600,1000,1000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cauliflower,Other,FAQ,22/03/2025,600,1000,900
